CUSTOMER,FLAG,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
C192,0,91,119,130,85,91,94,119,91,85,90,91,85
C193,0,154,,192,184,171,137,129,142,163,161,142,163
C194,0,140,139,130,125,85,140,139,130,125,85,130,125
C195,0,115,125,133,122,97,104,114,95,107,100,95,107
C196,0,16,21,21,10,23,16,21,21,10,23,21,10
C197,0,217,202,238,194,235,202,217,202,238,194,202,238
C198,0,129,166,170,180,152,142,147,149,150,161,149,150
C199,0,57,52,61,53,44,21,33,30,0,0,30,0
C200,0,78,65,67,54,63,81,87,97,45,104,97,45
C201,0,44,45,50,58,84,44,45,50,47,48,50,47
C202,0,45,49,51,51,47,45,49,47,46,61,47,46
C203,0,61,29,48,49,35,29,48,40,44,49,40,44
C204,0,98,102,109,129,88,98,111,129,129,110,129,129
C205,0,96,97,105,82,99,96,97,105,82,99,105,82
C206,0,85,90,89,87,80,90,106,107,123,134,107,123
C207,0,64,22,60,19,78,64,22,60,19,78,60,19
C208,0,21,51,29,99,23,21,51,29,99,23,29,99
C209,0,22,18,20,17,21,9,19,20,25,22,20,25
C210,0,44,37,40,35,35,32,35,35,17,30,35,17
C211,0,29,42,14,35,41,29,42,36,42,40,36,42
C212,0,77,85,73,79,31,77,85,73,79,31,73,79
C213,0,25,28,25,28,25,25,28,25,28,25,25,28
C214,0,234,261,266,200,203,234,261,266,200,203,266,200
C215,0,51,65,58,65,36,1,36,23,0,0,23,0
C216,0,79,70,75,68,81,75,76,81,70,78,81,70
C217,0,72,73,77,64,62,72,73,77,64,62,77,64
C218,0,37,43,50,31,40,37,43,50,31,50,50,31
C219,0,40,45,94,131,121,154,164,134,103,132,134,103
C220,0,20,25,35,40,66,58,57,134,70,142,134,70
C221,0,79,74,80,26,48,79,74,80,26,50,80,26
C222,0,20,19,35,37,41,20,19,35,37,41,35,37
C223,0,61,30,36,17,53,61,30,36,17,53,36,17
C224,0,256,360,293,399,412,256,360,293,399,412,293,399
C225,0,258,262,264,268,290,269,275,296,302,268,296,302
C226,0,317,288,334,323,332,104,129,119,134,108,119,134
